roll no,name,standard,gender,race/ethnicity,parental level of education,lunch,test preparation course,math,english,geography,history,science,total,percentag,attended,total lectures,attendance,test marks,total marks,percentage,score-cat,study-cat,cluster,
1,Jennifer,6,female,group B,bachelor's degree,standard,none,72,72,70,61,74,353,70.6,36,50,72,70,100,70,0,0,4,
2,Ann,6,female,group C,some college,standard,completed,69,90,63,57,88,392,78.4,42,50,84,67,100,67,0,1,2,
3,Matt,6,female,group B,master's degree,standard,none,90,95,37,77,93,448,89.6,50,50,100,68,100,68,0,1,2,
4,Sam,6,male,group A,associate's degree,free/reduced,none,47,57,76,33,44,225,45,35,50,70,54,100,54,0,0,4,
5,Sam,6,male,group C,some college,standard,none,76,78,88,94,75,398,79.6,36,50,72,74,100,74,1,0,3,
6,Sam,6,female,group B,associate's degree,standard,none,71,83,66,45,78,355,71,33,50,66,78,100,78,1,0,3,
7,Jennifer,6,female,group B,some college,standard,completed,88,95,81,61,92,428,85.6,47,50,94,95,100,95,1,1,1,
8,Jennifer,6,male,group B,some college,free/reduced,none,40,43,75,39,39,200,40,46,50,92,59,100,59,0,1,2,
9,Jennifer,6,male,group D,high school,free/reduced,completed,64,64,36,88,67,350,70,44,50,88,44,100,44,0,1,2,
10,Jennifer,6,female,group B,high school,free/reduced,none,38,60,61,97,50,295,59,45,50,90,85,100,85,1,1,1,
11,Ann,6,male,group C,associate's degree,standard,none,58,54,64,30,52,246,49.2,46,50,92,81,100,81,1,1,1,
12,Jennifer,6,male,group D,associate's degree,standard,none,40,52,85,79,43,257,51.4,35,50,70,84,100,84,1,0,3,
13,Ann,6,female,group B,high school,standard,none,65,81,43,54,73,346,69.2,39,50,78,41,100,41,0,1,2,
14,Jennifer,6,male,group A,some college,standard,completed,78,72,45,51,70,341,68.2,43,50,86,83,100,83,1,1,1,
15,Ann,6,female,group A,master's degree,standard,none,50,53,80,48,58,267,53.4,37,50,74,63,100,63,0,0,4,
16,Sam,6,female,group C,some high school,standard,none,69,75,75,63,78,363,72.6,49,50,98,40,100,40,0,1,2,
17,Matt,6,male,group C,high school,standard,none,88,89,92,55,86,404,80.8,41,50,82,45,100,45,0,1,2,
18,Sam,6,female,group B,some high school,free/reduced,none,18,32,57,79,28,185,37,40,50,80,81,100,81,1,1,1,
19,Sam,6,male,group C,master's degree,free/reduced,completed,46,42,72,60,46,240,48,34,50,68,64,100,64,0,0,4,
20,Sam,6,female,group C,associate's degree,free/reduced,none,54,58,39,52,61,286,57.2,43,50,86,49,100,49,0,1,2,
21,Matt,6,male,group D,high school,standard,none,66,69,78,59,63,320,64,47,50,94,32,100,32,0,1,2,
22,Matt,6,female,group B,some college,free/reduced,completed,65,75,71,31,70,311,62.2,38,50,76,60,100,60,0,1,2,
23,Ann,6,male,group D,some college,standard,none,44,54,49,51,53,255,51,50,50,100,33,100,33,0,1,2,
24,Sam,6,female,group C,some high school,standard,none,69,73,41,97,73,385,77,34,50,68,65,100,65,0,0,4,
25,Sam,6,male,group D,bachelor's degree,free/reduced,completed,74,71,53,83,80,388,77.6,36,50,72,46,100,46,0,0,4,
26,Matt,6,male,group A,master's degree,free/reduced,none,73,74,55,64,72,355,71,38,50,76,35,100,35,0,1,2,
27,Sam,6,male,group B,some college,standard,none,69,54,97,71,55,304,60.8,41,50,82,36,100,36,0,1,2,
28,Matt,6,female,group C,bachelor's degree,standard,none,67,69,41,51,75,337,67.4,35,50,70,32,100,32,0,0,4,
29,George,6,male,group C,high school,standard,none,70,70,92,100,65,370,74,31,50,62,76,100,76,1,0,3,
30,Matt,6,female,group D,master's degree,standard,none,62,70,72,82,75,364,72.8,40,50,80,36,100,36,0,1,2,
31,George,6,female,group D,some college,standard,none,69,74,75,44,74,335,67,32,50,64,30,100,30,0,0,4,
32,George,6,female,group B,some college,standard,none,63,65,64,85,61,335,67,33,50,66,74,100,74,1,0,3,
33,George,6,female,group E,master's degree,free/reduced,none,56,72,50,76,65,334,66.8,36,50,72,89,100,89,1,0,3,
34,Ann,6,male,group D,some college,standard,none,40,42,68,36,38,194,38.8,42,50,84,80,100,80,1,1,1,
35,Ann,6,male,group E,some college,standard,none,97,87,70,65,82,413,82.6,48,50,96,79,100,79,1,1,1,
36,Jennifer,6,male,group E,associate's degree,standard,completed,81,81,65,93,79,413,82.6,39,50,78,46,100,46,0,1,2,
37,George,6,female,group D,associate's degree,standard,none,74,81,100,38,83,359,71.8,33,50,66,34,100,34,0,0,4,
38,Matt,6,female,group D,some high school,free/reduced,none,50,64,46,89,59,321,64.2,49,50,98,62,100,62,0,1,2,
39,Matt,6,female,group D,associate's degree,free/reduced,completed,75,90,31,70,88,411,82.2,42,50,84,39,100,39,0,1,2,
40,Jennifer,6,male,group B,associate's degree,free/reduced,none,57,56,68,70,57,297,59.4,43,50,86,59,100,59,0,1,2,
41,Matt,6,male,group C,associate's degree,free/reduced,none,55,61,92,54,54,278,55.6,44,50,88,85,100,85,1,1,1,
42,Ann,6,female,group C,associate's degree,standard,none,58,73,54,76,68,343,68.6,38,50,76,92,100,92,1,1,1,
43,George,6,female,group B,associate's degree,standard,none,53,58,30,79,65,320,64,36,50,72,52,100,52,0,0,4,
44,Matt,6,male,group B,some college,free/reduced,completed,59,65,84,79,66,335,67,43,50,86,78,100,78,1,1,1,
45,Ann,6,female,group E,associate's degree,free/reduced,none,50,56,32,55,54,269,53.8,47,50,94,72,100,72,1,1,1,
46,Sam,6,male,group B,associate's degree,standard,none,65,54,94,30,57,263,52.6,50,50,100,47,100,47,0,1,2,
47,Sam,6,female,group A,associate's degree,standard,completed,55,65,89,87,62,331,66.2,49,50,98,73,100,73,1,1,1,
48,Ann,6,female,group C,high school,standard,none,66,71,50,83,76,372,74.4,33,50,66,79,100,79,1,0,3,
49,Matt,6,female,group D,associate's degree,free/reduced,completed,57,74,72,57,76,340,68,33,50,66,30,100,30,0,0,4,
50,Matt,6,male,group C,high school,standard,completed,82,84,48,51,82,381,76.2,42,50,84,89,100,89,1,1,1,
51,Matt,6,male,group E,some college,standard,none,53,55,58,78,48,282,56.4,36,50,72,48,100,48,0,0,4,
52,Sam,6,male,group E,associate's degree,free/reduced,completed,77,69,60,41,68,323,64.6,35,50,70,49,100,49,0,0,4,
53,Matt,6,male,group C,some college,standard,none,53,44,32,56,42,237,47.4,50,50,100,74,100,74,1,1,1,
54,Sam,6,male,group D,high school,standard,none,88,78,72,56,75,372,74.4,37,50,74,85,100,85,1,0,3,
55,Ann,6,female,group C,some high school,free/reduced,completed,71,84,48,61,87,390,78,31,50,62,54,100,54,0,0,4,
56,Ann,6,female,group C,high school,free/reduced,none,33,41,48,58,43,218,43.6,49,50,98,76,100,76,1,1,1,
57,Jennifer,6,female,group E,associate's degree,standard,completed,82,85,46,38,86,377,75.4,31,50,62,51,100,51,0,0,4,
58,Jennifer,6,male,group D,associate's degree,standard,none,52,55,67,75,49,280,56,44,50,88,53,100,53,0,1,2,
59,Sam,6,male,group D,some college,standard,completed,58,59,80,46,58,279,55.8,35,50,70,41,100,41,0,0,4,
60,Ann,6,female,group C,some high school,free/reduced,none,0,17,89,88,10,125,25,50,50,100,40,100,40,0,1,2,
61,Ann,6,male,group E,bachelor's degree,free/reduced,completed,79,74,70,32,72,329,65.8,40,50,80,54,100,54,0,1,2,
62,George,6,male,group A,some high school,free/reduced,none,39,39,42,71,34,217,43.4,30,50,60,61,100,61,0,0,4,
63,Jennifer,6,male,group A,associate's degree,free/reduced,none,62,61,47,90,55,323,64.6,46,50,92,89,100,89,1,1,1,
64,Ann,6,female,group C,associate's degree,standard,none,69,80,65,48,71,339,67.8,30,50,60,57,100,57,0,0,4,
65,George,6,female,group D,some high school,standard,none,59,58,100,82,59,317,63.4,41,50,82,53,100,53,0,1,2,
66,Matt,6,male,group B,some high school,standard,none,67,64,38,92,61,345,69,40,50,80,58,100,58,0,1,2,
67,Jennifer,6,male,group D,some high school,free/reduced,none,45,37,48,37,37,193,38.6,45,50,90,38,100,38,0,1,2,
68,Jennifer,6,female,group C,some college,standard,none,60,72,78,81,74,361,72.2,31,50,62,42,100,42,0,0,4,
69,Jennifer,6,male,group B,associate's degree,free/reduced,none,61,58,97,58,56,289,57.8,37,50,74,35,100,35,0,0,4,
70,George,6,female,group C,associate's degree,standard,none,39,64,54,71,57,288,57.6,42,50,84,92,100,92,1,1,1,
71,George,6,female,group D,some college,free/reduced,completed,58,63,100,75,73,342,68.4,31,50,62,35,100,35,0,0,4,
72,Ann,6,male,group D,some college,standard,completed,63,55,48,32,63,276,55.2,44,50,88,58,100,58,0,1,2,
73,Ann,6,female,group A,associate's degree,free/reduced,none,41,51,66,31,48,219,43.8,34,50,68,81,100,81,1,0,3,
74,Ann,6,male,group C,some high school,free/reduced,none,61,57,65,67,56,297,59.4,39,50,78,90,100,90,1,1,1,
75,Sam,6,male,group C,some high school,standard,none,49,49,43,47,41,227,45.4,40,50,80,50,100,50,0,1,2,
76,Ann,6,male,group B,associate's degree,free/reduced,none,44,41,31,46,38,207,41.4,36,50,72,55,100,55,0,0,4,
77,Sam,6,male,group E,some high school,standard,none,30,26,100,48,22,148,29.6,34,50,68,41,100,41,0,0,4,
78,George,6,male,group A,bachelor's degree,standard,completed,80,78,47,60,81,380,76,41,50,82,52,100,52,0,1,2,
79,George,6,female,group D,some high school,standard,completed,61,74,54,88,72,367,73.4,41,50,82,55,100,55,0,1,2,
80,Jennifer,6,female,group E,master's degree,standard,none,62,68,48,70,68,336,67.2,35,50,70,67,100,67,0,0,4,
81,Matt,6,female,group B,associate's degree,standard,none,47,49,100,92,50,288,57.6,43,50,86,86,100,86,1,1,1,
82,George,6,male,group B,high school,free/reduced,none,49,45,82,64,45,248,49.6,34,50,68,80,100,80,1,0,3,
83,George,6,male,group A,some college,free/reduced,completed,50,47,43,55,54,260,52,41,50,82,43,100,43,0,1,2,
84,Sam,6,male,group E,associate's degree,standard,none,72,64,68,91,63,353,70.6,44,50,88,91,100,91,1,1,1,
85,George,6,male,group D,high school,free/reduced,none,42,39,88,30,34,179,35.8,35,50,70,33,100,33,0,0,4,
86,Ann,6,female,group C,some college,standard,none,73,80,88,57,82,374,74.8,47,50,94,76,100,76,1,1,1,
87,Ann,6,female,group C,some college,free/reduced,none,76,83,57,55,88,390,78,30,50,60,74,100,74,1,0,3,
88,Ann,6,female,group D,associate's degree,standard,none,71,71,43,71,74,361,72.2,48,50,96,93,100,93,1,1,1,
89,Jennifer,6,female,group A,some college,standard,none,58,70,40,46,67,308,61.6,44,50,88,30,100,30,0,1,2,
90,George,6,female,group D,some high school,standard,none,73,86,51,89,82,412,82.4,48,50,96,77,100,77,1,1,1,
91,Sam,6,female,group C,bachelor's degree,standard,none,65,72,91,30,74,315,63,45,50,90,90,100,90,1,1,1,
92,George,6,male,group C,high school,free/reduced,none,27,34,95,44,36,177,35.4,50,50,100,62,100,62,0,1,2,
93,George,6,male,group C,high school,standard,none,71,79,44,58,71,350,70,38,50,76,68,100,68,0,1,2,
94,George,6,male,group C,associate's degree,free/reduced,completed,43,45,60,84,50,272,54.4,33,50,66,30,100,30,0,0,4,
95,Sam,6,female,group B,some college,standard,none,79,86,84,46,92,395,79,30,50,60,60,100,60,0,0,4,
96,Ann,6,male,group C,associate's degree,free/reduced,completed,78,81,58,74,82,397,79.4,44,50,88,59,100,59,0,1,2,
